,Team Name,Season,W,L,D,GF,GF_H,GF_A,GA,GA_H,GA_A,GD,Points,Place,Transfer Spend Summer,Transfer Spend Winter,Wage Bill,Points Improvement,Place Improvement,Wage Bill Increase,Lat,Lon
95,Southampton FC,2018/2019,9,17,12,45,27,18,65,30,35,-20,39,16,59855769.23076923,0.0,83152150.96,3.0,-1.0,3562483.3099999875,50.905833,-1.391111
96,Brighton & Hove Albion FC,2018/2019,9,20,9,35,19,16,60,28,32,-25,36,17,73769230.76923077,13238095.238095237,49102703.85,-4.0,2.0,2441854.829999998,50.861822,-0.083278
97,Cardiff City FC,2018/2019,10,24,4,34,21,13,69,38,31,-35,34,18,29567307.692307692,19476190.476190474,37829528.85,,,,51.472778,-3.203056
98,Fulham FC,2018/2019,7,26,5,34,22,12,81,36,45,-47,26,19,109134615.38461538,2857142.857142857,58388656.73,,,,51.475,-0.221667
99,Huddersfield Town AFC,2018/2019,3,28,7,22,10,12,76,31,45,-54,16,20,47115384.615384616,1619047.619047619,40266257.69,-21.0,4.0,10327039.059999999,53.654221,-1.769226
100,Liverpool FC,2019/2020,32,3,3,85,52,33,33,16,17,52,99,1,1809523.8095238095,8018867.924528302,130466577.14,2.0,-1.0,-15691398.820000008,53.430819,-2.960828
101,Manchester City FC,2019/2020,26,9,3,102,57,45,35,13,22,67,81,2,158876190.47619048,2830188.679245283,169219253.33,-17.0,1.0,-3485902.4399999976,53.482989,-2.200292
102,Chelsea FC,2019/2020,20,12,6,69,30,39,54,16,38,15,66,4,42857142.85714286,0.0,135895588.57,-6.0,1.0,-44717183.55000001,51.481667,-0.191111
103,Manchester United FC,2019/2020,18,8,12,66,40,26,36,17,19,30,66,3,152190476.19047618,72641509.43396226,187902766.67,0.0,-3.0,14378866.669999987,53.463056,-2.291389
104,Leicester City FC,2019/2020,18,12,8,67,35,32,41,17,24,26,62,5,99333333.33333333,0.0,83513600.0,10.0,-4.0,-8107475.0,52.620278,-1.142222
105,Tottenham Hotspur FC,2019/2020,16,11,11,61,36,25,47,17,30,14,59,6,110476190.47619048,32547169.811320752,122186770.48,-12.0,2.0,17601139.71000001,51.603333,-0.065833
106,Wolverhampton Wanderers FC,2019/2020,15,9,14,51,27,24,40,19,21,11,59,7,92476190.47619048,18490566.03773585,61479546.67,2.0,0.0,18837333.21,52.590278,-2.130278
107,Arsenal FC,2019/2020,14,10,14,56,36,20,48,24,24,8,56,8,145523809.52380952,7547169.811320755,134634874.29,-14.0,3.0,-20582007.439999998,51.555,-0.108611
108,Burnley FC,2019/2020,15,14,9,43,24,19,50,23,27,-7,54,10,13190476.19047619,9433962.264150944,50507956.19,14.0,-5.0,-248285.16000000387,53.789167,-2.230278
109,Sheffield United FC,2019/2020,14,12,12,39,24,15,39,15,24,0,54,9,45238095.23809524,23584905.660377357,27463061.9,,,,53.370278,-1.470833
110,Southampton FC,2019/2020,15,16,7,51,21,30,60,35,25,-9,52,11,58571428.57142857,0.0,60809441.9,13.0,-5.0,-22342709.059999995,50.905833,-1.391111
111,Everton FC,2019/2020,13,15,10,44,24,20,56,21,35,-12,49,12,114190476.19047618,1037735.8490566037,99868774.29,-5.0,4.0,1588831.0200000107,53.438889,-2.966389
112,Newcastle United FC,2019/2020,11,16,11,38,20,18,58,21,37,-20,44,13,64666666.666666664,4245283.018867924,76449078.1,-1.0,0.0,19291973.28999999,54.975556,-1.621667
113,Crystal Palace FC,2019/2020,11,17,10,31,15,16,50,20,30,-19,43,14,7238095.238095238,0.0,84376792.38,-6.0,2.0,-1282606.6600000113,51.398333,-0.085556
114,Brighton & Hove Albion FC,2019/2020,9,15,14,39,20,19,54,27,27,-15,41,15,54514285.71428571,4245283.018867924,55335000.95,5.0,-2.0,6232297.1000000015,50.861822,-0.083278
115,West Ham United FC,2019/2020,10,19,9,49,30,19,62,33,29,-13,39,16,85047619.04761904,28773584.905660376,84622120.95,-13.0,6.0,-10318645.399999991,51.531944,0.039444
116,Aston Villa FC,2019/2020,9,21,8,41,22,19,67,30,37,-26,35,17,141523809.52380952,10283018.867924528,58094937.14,,,,52.509167,-1.884722
117,Watford FC,2019/2020,8,20,10,36,22,14,64,27,37,-28,34,19,34285714.28571428,18867924.528301887,65500196.19,-16.0,8.0,8855667.339999996,51.649836,-0.401486
118,AFC Bournemouth,2019/2020,9,22,7,40,22,18,65,30,35,-25,34,18,52295238.09523809,0.0,48100108.57,-11.0,4.0,-12319350.079999998,50.735278,-1.838333
119,Norwich City FC,2019/2020,5,27,6,26,19,7,75,37,38,-49,21,20,3966666.6666666665,4386792.452830189,29745969.52,,,,52.622128,1.308653
120,Manchester City FC,2020/2021,27,6,5,83,43,40,32,17,15,51,86,1,157924528.3018868,5504587.155963303,154896154.72,5.0,-1.0,-14323098.610000014,53.482989,-2.200292
121,Manchester United FC,2020/2021,21,6,11,73,38,35,44,28,16,29,74,2,59103773.584905654,19541284.403669722,217598055.66,8.0,-1.0,29695288.99000001,53.463056,-2.291389
